iter	Passed	Remaining
857	1099	181
858	1100	180
859	1101	179
860	1102	177
861	1103	176
862	1104	175
863	1105	173
864	1105	172
865	1107	171
866	1108	170
867	1109	168
868	1109	167
869	1110	165
870	1111	164
871	1112	163
872	1113	162
873	1114	160
874	1115	159
875	1116	157
876	1116	156
877	1117	155
878	1118	153
879	1119	152
880	1120	151
881	1123	150
882	1124	149
883	1125	147
884	1126	146
885	1127	145
886	1128	143
887	1129	142
888	1130	141
889	1131	139
890	1131	138
891	1132	137
892	1133	135
893	1134	134
894	1135	133
895	1136	131
896	1138	130
897	1139	129
898	1140	128
899	1140	126
900	1141	125
901	1142	124
902	1143	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1150	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1156	104
917	1157	103
918	1157	102
919	1158	100
920	1159	99
921	1160	98
922	1161	96
923	1161	95
924	1162	94
925	1163	92
926	1164	91
927	1165	90
928	1166	89
929	1167	87
930	1168	86
931	1169	85
932	1170	84
933	1171	82
934	1171	81
935	1173	80
936	1174	78
937	1174	77
938	1175	76
939	1176	75
940	1177	73
941	1178	72
942	1179	71
943	1180	70
944	1181	68
945	1182	67
946	1184	66
947	1185	65
948	1186	63
949	1187	62
950	1188	61
951	1188	59
952	1189	58
953	1191	57
954	1192	56
955	1193	54
956	1193	53
957	1194	52
958	1196	51
959	1197	49
960	1198	48
961	1199	47
962	1199	46
963	1200	44
964	1201	43
965	1202	42
966	1203	41
967	1204	39
968	1205	38
969	1205	37
970	1206	36
971	1207	34
972	1208	33
973	1209	32
974	1211	31
975	1212	29
976	1214	28
977	1215	27
978	1216	26
979	1217	24
980	1217	23
981	1218	22
982	1219	21
983	1220	19
984	1221	18
985	1222	17
986	1223	16
987	1223	14
988	1224	13
989	1226	12
990	1227	11
991	1228	9
992	1228	8
993	1229	7
994	1230	6
995	1231	4
996	1232	3
997	1233	2
998	1234	1
999	1235	0
